
Host: wheat-r28-cp2a

Timers On : Fri May 29 15:31:12 2026
Timers Off: Fri May 29 16:06:30 2026

Wall Time:     2118.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     29.533u      1.783s      1.848w      2 calls
Libint2ERI::Libint2ERI              :    301.600u     12.883s    106.148w    557 calls
DFH: initialize()                   :   1081.150u     80.633s     10.407w      2 calls
DFH: AO Construction                :    237.283u      9.550s      1.676w      2 calls
DFH: AO-Met. Contraction            :    434.683u     18.750s      3.675w      2 calls
HF: Form core H                     :     91.333u      4.500s      0.633w      1 calls
HF: Form S/X                        :     25.500u      1.417s      0.177w      1 calls
HF: Guess                           :     48.483u      6.617s      0.370w      1 calls
SAD Guess                           :     47.083u      6.533s      0.361w      1 calls
HF: Form G                          :  15057.017u    662.850s    104.324w     23 calls
JK: D                               :     10.367u      0.633s      0.073w     37 calls
JK: USO2AO                          :      1.367u      0.117s      0.010w     37 calls
JK: JK                              :  28300.050u    832.300s    200.179w     37 calls
DFH: compute_JK()                   :  28281.733u    831.283s    200.052w     37 calls
DFH: Grabbing AOs                   :      0.067u      0.017s      0.001w     37 calls
DFH: compute_J                      :  10441.650u    380.983s     71.738w     37 calls
DFH: compute_K                      :  16829.250u    366.200s    117.670w     37 calls
JK: AO2USO                          :      0.033u      0.017s      0.000w     37 calls
HF: Form F                          :      9.033u      0.467s      0.063w     23 calls
HF: Form D                          :      6.317u      0.350s      0.044w     23 calls
HF: DIIS                            :    409.200u     51.767s      4.120w     22 calls
HF: Form C                          :    613.217u     26.267s      4.189w     22 calls
DFMP2 Singles                       :      1.450u      0.100s      0.010w      1 calls
DFMP2 Aia                           :    503.867u     21.150s     41.582w      1 calls
DFMP2 (A|mn)                        :    286.617u      0.117s      1.878w      1 calls
DFMP2 (A|mn)C_mi                    :     96.183u      2.583s      0.754w      1 calls
DFMP2 (A|mi)C_na                    :     10.933u      8.017s      0.124w      1 calls
DFMP2 Aia Write                     :     24.333u      2.017s      0.274w      1 calls
DFMP2 iaB                           :    329.133u     20.433s      3.596w      1 calls
DFMP2 Metric                        :    196.817u      4.350s      1.349w      1 calls
DFMP2 Aia Read                      :      0.017u      0.467s      0.285w      1 calls
DFMP2 (ia|A)(A|Q)                   :     22.983u      8.633s      0.211w      1 calls
DFMP2 Bia Write                     :     28.233u      2.417s      0.281w      1 calls
DFMP2 Bia Read                      :      0.200u      0.750s      0.578w      3 calls
DFMP2 (ia|B)(B|Q)                   :     27.233u      0.283s      0.181w      1 calls
DFMP2 Cia Write                     :     24.483u      2.000s      0.267w      1 calls
DFMP2 aiB                           :      0.217u      0.900s      0.668w      1 calls
DFMP2 Tij                           :   1342.083u    321.717s     14.461w      1 calls
DFMP2 Cia Read                      :      0.017u      0.833s      0.494w      2 calls
DFMP2 I                             :    933.550u     32.217s      6.357w      2 calls
DFMP2 T2                            :    132.117u    923.483s      6.923w      2 calls
DFMP2 G                             :    389.250u      1.950s      2.978w      1 calls
DFMP2 Pab                           :    397.483u      2.250s      3.885w      1 calls
DFMP2 Gia Write                     :      1.000u      0.550s      0.290w      1 calls
DFMP2 Tab                           :    563.483u    650.250s      8.932w      1 calls
DFMP2 Bai Read                      :      0.000u      0.383s      0.234w      1 calls
DFMP2 Qai Read                      :      0.183u      0.000s      0.115w      1 calls
DFMP2 Pij                           :     40.150u      9.367s      0.326w      1 calls
DFMP2 gamma                         :     55.350u      2.500s      1.227w      1 calls
DFMP2 Gia Read                      :      0.000u      0.733s      0.454w      2 calls
DFMP2 g                             :     33.150u      0.300s      0.222w      1 calls
